N,P,K,Temperature,Humidity,Ph,Rain,Crop
77.25,43.86,28.56,23.81,63.06,5.67,92.05,Apple
70.44,55.77,35.9,26.3,70.77,6.34,104.25,Bhindi(Ladies Finger)
5.05,19.31,33.27,25.0,87.77,6.27,101.68,Pomegranate
38.49,74.54,38.25,16.48,21.4,7.48,75.81,Black Gram (Urd Beans)(Whole)
36.51,72.88,17.54,29.06,42.56,5.72,117.62,Arhar (Tur/Red Gram)(Whole)
97.42,58.08,23.75,23.84,55.38,6.76,71.9,Apple
95.3,89.73,48.65,25.61,78.31,6.51,135.73,Banana
15.42,55.73,17.54,28.55,78.38,6.65,54.93,Green Gram (Moong)(Whole)
12.85,121.11,196.18,31.03,77.1,6.3,69.63,Grapes
8.29,59.36,27.02,32.18,55.23,5.37,89.99,Mango
27.36,53.07,30.53,31.98,53.99,5.11,94.61,Mango
87.96,47.63,21.26,20.51,58.96,6.35,84.2,Apple
22.28,58.43,20.23,25.59,69.29,6.58,68.2,Green Gram (Moong)(Whole)
89.16,57.18,51.84,29.05,65.9,7.24,99.56,Bhindi(Ladies Finger)
76.05,49.98,45.52,28.76,79.19,7.22,99.24,Bhindi(Ladies Finger)
101.27,71.98,46.68,21.9,79.54,7.46,122.17,Banana
91.76,71.7,48.31,24.03,80.54,6.9,103.22,Banana
94.39,54.05,43.45,27.03,70.63,6.48,84.42,Bhindi(Ladies Finger)
39.67,60.61,39.85,17.34,61.58,5.67,104.29,Arhar (Tur/Red Gram)(Whole)
87.67,48.97,47.44,24.47,73.09,6.69,84.11,Bhindi(Ladies Finger)
94.75,59.21,46.26,28.99,77.76,6.67,183.86,Banana
25.53,73.0,51.9,23.08,22.17,7.0,101.26,Black Gram (Urd Beans)(Whole)
16.42,145.28,199.86,31.67,75.26,6.24,61.24,Grapes
5.86,50.03,33.42,30.36,47.52,5.43,80.79,Mango
9.87,21.81,39.01,17.38,92.88,6.05,116.99,Pomegranate
49.99,62.01,67.71,16.27,65.93,6.5,90.94,Black Gram (Urd Beans)(Whole)
77.64,39.81,40.59,26.06,88.24,6.75,228.6,Rice
77.72,52.65,45.41,29.24,71.42,7.09,94.73,Bhindi(Ladies Finger)
79.78,48.39,35.43,25.83,68.28,6.32,99.82,Bhindi(Ladies Finger)
27.57,64.89,26.22,28.56,25.07,5.76,80.93,Arhar (Tur/Red Gram)(Whole)
91.87,68.47,44.99,26.68,80.1,5.99,109.02,Banana
21.02,58.56,17.21,34.63,81.44,6.72,43.12,Green Gram (Moong)(Whole)
11.24,26.12,38.22,21.03,91.4,6.08,103.66,Pomegranate
14.5,67.87,28.4,20.48,33.5,6.22,110.77,Arhar (Tur/Red Gram)(Whole)
62.95,45.03,40.65,23.18,87.43,6.95,288.62,Rice
70.23,50.47,44.15,23.69,72.15,6.56,80.13,Bhindi(Ladies Finger)
57.04,61.32,79.13,25.18,64.63,7.4,86.5,Black Gram (Urd Beans)(Whole)
15.49,58.52,20.22,30.23,78.95,6.83,64.03,Green Gram (Moong)(Whole)
70.66,30.4,27.92,20.84,55.9,6.57,98.08,Apple
20.61,148.31,184.68,31.23,82.17,6.05,63.03,Grapes
90.22,55.27,44.24,23.89,73.45,7.13,107.96,Bhindi(Ladies Finger)
39.98,56.93,16.95,27.64,67.61,6.69,69.32,Green Gram (Moong)(Whole)
33.24,42.17,30.72,34.62,49.46,5.35,84.63,Mango
23.31,51.65,24.2,32.05,79.16,7.06,62.96,Green Gram (Moong)(Whole)
31.83,50.49,19.85,34.11,81.37,7.38,55.41,Green Gram (Moong)(Whole)
72.92,53.11,25.39,23.55,53.74,5.68,72.53,Apple
24.88,55.22,23.1,28.78,71.56,6.55,77.46,Green Gram (Moong)(Whole)
8.7,17.13,31.16,24.33,87.92,6.39,102.61,Pomegranate
99.99,54.43,34.74,20.41,65.13,5.55,66.78,Apple
16.67,57.94,23.64,30.61,84.11,7.41,71.42,Green Gram (Moong)(Whole)
71.46,41.5,43.62,20.42,81.27,6.02,289.11,Rice
62.88,52.11,42.52,23.24,85.86,6.62,216.9,Rice
63.19,40.99,43.16,26.92,89.49,6.85,235.55,Rice
39.99,22.6,30.26,33.22,51.83,5.67,87.82,Mango
94.11,52.32,29.01,21.25,61.46,5.58,68.42,Apple
11.4,23.14,37.99,24.94,94.83,5.51,102.72,Pomegranate
98.38,31.67,22.45,24.72,69.48,6.06,95.95,Apple
85.3,51.84,51.0,29.45,68.35,6.28,93.33,Bhindi(Ladies Finger)
100.77,59.87,47.76,26.75,76.55,7.07,117.55,Banana
18.31,147.97,187.67,31.27,81.9,6.08,76.15,Grapes
90.77,72.66,44.89,28.51,76.33,6.39,110.94,Banana
57.05,63.66,43.58,25.83,52.5,7.09,133.42,Black Gram (Urd Beans)(Whole)
74.13,48.29,47.07,22.97,79.07,7.37,94.54,Bhindi(Ladies Finger)
101.07,84.32,43.79,20.93,79.1,6.74,141.18,Banana
83.12,49.99,38.86,24.05,64.4,6.54,65.22,Apple
14.73,126.93,182.72,29.31,75.03,6.2,72.92,Grapes
7.29,21.17,38.34,20.4,91.36,5.56,106.14,Pomegranate
4.32,26.97,35.04,15.04,93.53,5.87,118.63,Pomegranate
12.86,59.63,16.72,29.34,67.66,6.79,58.63,Green Gram (Moong)(Whole)
12.18,51.45,21.69,30.32,80.43,6.89,73.06,Green Gram (Moong)(Whole)
10.5,47.05,20.79,28.76,51.49,5.75,83.54,Mango
83.11,53.18,34.62,23.07,57.99,5.78,68.8,Apple
89.36,56.75,38.87,23.23,61.19,6.94,98.28,Apple
87.63,40.5,35.58,20.29,58.34,6.5,96.05,Apple
60.98,35.43,43.09,24.82,87.57,7.46,265.12,Rice
20.75,63.72,34.14,17.52,20.22,6.04,125.03,Arhar (Tur/Red Gram)(Whole)
25.63,127.6,187.77,31.31,79.58,6.48,61.04,Grapes
5.53,29.01,39.45,18.18,93.71,6.39,119.18,Pomegranate
101.11,71.16,47.05,28.1,79.59,6.16,93.9,Banana
5.4,22.39,33.65,15.14,92.03,5.95,100.18,Pomegranate
12.31,18.21,36.81,19.18,85.75,6.22,100.0,Pomegranate
12.44,29.55,33.48,25.99,58.62,5.52,99.69,Mango
29.08,141.08,181.88,29.84,81.12,6.27,76.58,Grapes
16.4,141.87,203.0,29.08,81.13,6.49,66.77,Grapes
75.23,54.99,35.68,24.58,73.75,6.84,94.44,Bhindi(Ladies Finger)
8.35,23.09,30.49,15.43,92.26,5.86,103.22,Pomegranate
69.91,46.42,43.29,24.14,88.2,7.04,263.67,Rice
89.96,71.21,45.32,28.78,75.4,6.26,124.47,Banana
25.66,133.34,194.51,29.22,78.24,6.04,78.55,Grapes
81.14,35.67,36.96,21.19,58.48,6.35,94.85,Apple
54.63,73.37,35.43,22.23,43.05,7.14,67.64,Black Gram (Urd Beans)(Whole)
29.65,149.21,200.37,28.67,77.93,6.01,71.58,Grapes
39.16,40.66,21.93,30.16,50.89,5.28,87.72,Mango
35.98,50.38,27.08,29.43,51.6,5.92,89.92,Mango
26.45,52.47,16.54,32.28,73.81,6.84,74.4,Green Gram (Moong)(Whole)
26.59,70.89,30.63,18.61,56.28,5.73,139.62,Arhar (Tur/Red Gram)(Whole)
10.73,27.96,36.86,22.5,85.69,6.15,118.24,Pomegranate
29.29,61.66,36.74,21.16,64.69,5.93,109.41,Arhar (Tur/Red Gram)(Whole)
13.43,67.28,16.39,24.7,62.12,6.29,132.24,Arhar (Tur/Red Gram)(Whole)
41.19,72.4,72.24,27.09,35.33,7.5,114.51,Black Gram (Urd Beans)(Whole)
28.46,54.74,23.52,31.51,65.68,7.47,55.07,Green Gram (Moong)(Whole)
93.04,72.47,46.05,25.39,78.01,7.31,107.58,Banana
87.1,46.5,44.9,22.09,78.6,6.57,95.32,Bhindi(Ladies Finger)
74.51,55.58,48.85,27.54,72.42,6.69,85.53,Bhindi(Ladies Finger)
3.76,28.67,37.97,20.79,91.65,5.83,117.3,Pomegranate
35.04,29.88,33.84,32.49,57.08,5.8,86.72,Mango
13.11,26.93,37.09,22.92,91.8,5.91,118.15,Pomegranate
68.96,50.95,43.31,25.67,81.04,7.01,293.03,Rice
85.17,60.18,49.52,26.56,79.02,5.9,213.94,Banana
49.31,60.34,60.04,19.11,67.78,6.58,73.44,Black Gram (Urd Beans)(Whole)
17.36,34.1,32.18,30.59,55.94,5.71,88.2,Mango
71.74,50.68,40.68,24.38,85.15,6.4,277.9,Rice
76.85,50.41,44.4,26.12,71.09,7.03,92.83,Bhindi(Ladies Finger)
25.71,78.37,53.22,24.54,39.65,6.76,90.54,Black Gram (Urd Beans)(Whole)
62.25,48.7,41.49,22.43,86.15,7.26,230.7,Rice
65.53,37.9,44.96,21.3,82.03,6.44,245.59,Rice
69.96,54.14,44.23,21.02,89.08,7.47,293.83,Rice
46.23,74.63,34.18,16.42,65.25,6.75,78.08,Black Gram (Urd Beans)(Whole)
10.7,57.5,23.03,33.1,63.02,7.2,70.88,Green Gram (Moong)(Whole)
53.02,61.02,67.97,17.84,51.18,7.49,65.07,Black Gram (Urd Beans)(Whole)
23.46,67.13,21.79,28.21,28.44,6.4,107.71,Arhar (Tur/Red Gram)(Whole)
14.5,54.87,23.31,25.84,60.66,7.46,50.84,Green Gram (Moong)(Whole)
78.24,36.54,43.83,23.26,89.26,7.42,262.2,Rice
83.07,58.63,38.83,29.19,77.02,6.98,92.95,Bhindi(Ladies Finger)
32.48,59.16,19.13,34.79,77.79,7.3,52.62,Green Gram (Moong)(Whole)
24.25,65.03,28.37,29.39,55.2,6.35,95.15,Arhar (Tur/Red Gram)(Whole)
12.39,36.15,29.82,34.41,49.06,5.64,84.3,Mango
14.46,124.25,205.6,28.16,83.6,6.32,75.82,Grapes
84.09,59.16,40.15,24.34,70.05,6.23,97.49,Bhindi(Ladies Finger)
38.31,30.67,32.72,34.76,48.24,5.28,95.43,Mango
87.88,94.03,45.1,20.89,82.83,5.89,117.96,Banana
20.15,143.45,180.24,28.87,81.82,6.37,61.41,Grapes
38.27,63.43,20.38,15.18,46.08,7.07,144.07,Black Gram (Urd Beans)(Whole)
20.27,136.83,181.85,30.92,80.02,6.29,61.84,Grapes
14.26,22.98,30.49,17.34,86.74,5.85,111.97,Pomegranate
11.91,29.68,32.69,20.52,85.9,6.19,117.97,Pomegranate
84.56,38.74,23.47,20.31,54.82,5.97,66.06,Apple
103.91,72.53,43.74,22.66,84.49,5.87,184.3,Banana
86.22,69.23,41.48,28.22,84.33,5.68,223.61,Banana
39.77,66.69,35.61,16.21,32.49,5.81,125.01,Arhar (Tur/Red Gram)(Whole)
28.74,68.56,26.5,19.43,43.91,5.6,113.48,Arhar (Tur/Red Gram)(Whole)
89.74,62.42,49.36,27.07,80.72,6.78,148.03,Banana
29.01,30.41,20.07,27.51,57.22,4.55,98.11,Mango
13.03,55.45,21.7,32.68,70.36,7.21,49.95,Green Gram (Moong)(Whole)
28.74,133.16,189.65,30.52,77.64,6.21,66.46,Grapes
73.67,42.45,24.54,23.34,65.56,6.55,94.01,Apple
30.44,73.05,42.86,23.54,66.74,6.99,79.62,Black Gram (Urd Beans)(Whole)
9.04,25.17,30.53,17.2,89.19,5.56,117.82,Pomegranate
11.65,149.65,186.79,29.69,79.21,6.05,65.97,Grapes
15.14,64.11,33.14,23.91,50.38,6.45,136.5,Arhar (Tur/Red Gram)(Whole)
27.63,60.75,18.38,29.99,28.51,5.98,84.56,Arhar (Tur/Red Gram)(Whole)
92.13,94.35,44.29,20.12,83.02,7.09,113.66,Banana
4.38,26.89,33.5,17.84,91.3,6.34,117.64,Pomegranate
26.72,76.99,66.41,22.1,20.35,7.37,78.04,Black Gram (Urd Beans)(Whole)
29.15,52.34,25.71,32.9,48.41,5.62,92.64,Mango
24.98,142.33,187.12,30.55,77.67,6.02,79.81,Grapes
38.41,61.79,32.74,16.78,37.99,5.95,118.9,Arhar (Tur/Red Gram)(Whole)
76.76,37.86,43.42,26.38,81.7,6.28,287.95,Rice
76.56,46.77,44.65,25.74,84.01,7.09,238.56,Rice
12.06,25.81,39.05,18.3,88.57,6.4,111.61,Pomegranate
73.6,52.37,43.98,24.46,88.16,7.1,225.37,Rice
78.74,54.61,40.68,22.51,70.86,6.33,92.03,Bhindi(Ladies Finger)
26.6,121.9,205.55,28.85,78.85,6.19,76.01,Grapes
15.94,30.21,28.02,33.46,54.18,6.44,82.86,Mango
30.53,64.21,32.83,18.47,30.95,5.57,104.24,Arhar (Tur/Red Gram)(Whole)
88.3,90.14,48.27,21.93,79.28,5.9,151.19,Banana
10.7,25.41,34.94,20.89,91.59,5.59,118.28,Pomegranate
73.15,53.96,37.16,23.25,71.53,7.31,109.52,Bhindi(Ladies Finger)
2.66,17.27,32.07,18.56,88.37,5.58,113.93,Pomegranate
74.39,37.4,42.2,21.68,87.22,6.19,294.48,Rice
45.93,76.81,37.62,16.91,56.02,7.27,114.41,Black Gram (Urd Beans)(Whole)
74.2,49.52,44.24,28.27,79.93,7.34,80.29,Bhindi(Ladies Finger)
22.14,149.3,190.99,30.19,79.69,6.19,77.72,Grapes
11.96,26.93,39.71,20.55,88.05,5.81,106.66,Pomegranate
11.38,43.9,27.25,25.35,51.8,5.81,89.18,Mango
20.48,49.19,21.24,31.2,48.13,6.33,87.56,Mango
20.7,77.49,25.72,27.39,39.64,6.68,94.51,Black Gram (Urd Beans)(Whole)
33.25,56.97,15.67,29.86,73.57,7.34,77.12,Green Gram (Moong)(Whole)
27.23,43.84,27.82,30.52,54.01,5.3,91.49,Mango
102.53,61.6,43.02,26.96,77.89,6.04,226.93,Banana
74.68,45.74,53.02,24.42,66.15,7.19,96.15,Bhindi(Ladies Finger)
37.34,66.28,61.47,26.38,50.96,6.89,136.39,Black Gram (Urd Beans)(Whole)
91.54,38.65,30.8,21.09,65.36,6.95,71.18,Apple
64.14,35.38,41.6,26.78,85.66,6.52,253.51,Rice
79.7,54.4,39.05,28.21,66.02,6.1,80.51,Bhindi(Ladies Finger)
94.63,73.05,49.46,23.0,82.22,6.04,146.27,Banana
100.7,93.21,44.58,27.48,82.73,7.21,179.69,Banana
35.13,55.76,20.35,27.29,80.55,6.99,40.69,Green Gram (Moong)(Whole)
37.29,53.78,24.65,32.7,69.78,6.84,53.23,Green Gram (Moong)(Whole)
86.18,45.63,43.9,26.28,77.4,6.65,83.54,Bhindi(Ladies Finger)
28.26,59.78,16.87,29.0,64.57,7.07,77.87,Green Gram (Moong)(Whole)
20.1,57.54,22.92,34.82,83.61,6.67,68.66,Green Gram (Moong)(Whole)
101.15,70.72,41.73,26.11,81.67,6.19,115.44,Banana
22.56,68.22,17.83,27.64,45.91,6.17,99.93,Arhar (Tur/Red Gram)(Whole)
6.54,26.46,24.93,25.28,54.97,5.82,87.86,Mango
36.85,55.98,17.93,34.52,66.85,6.56,58.25,Green Gram (Moong)(Whole)
88.71,55.3,39.34,22.98,53.34,6.59,65.27,Apple
63.45,35.48,44.94,21.12,81.17,6.41,212.7,Rice
94.76,64.51,52.99,23.25,67.25,7.27,98.4,Bhindi(Ladies Finger)
38.03,51.93,16.1,25.91,79.52,6.82,48.38,Green Gram (Moong)(Whole)
32.38,54.29,20.86,28.58,80.67,7.29,49.37,Green Gram (Moong)(Whole)
64.2,53.1,44.56,21.57,88.28,6.24,217.49,Rice
13.24,18.04,34.12,15.83,89.26,5.61,107.15,Pomegranate
89.2,64.03,46.38,28.69,77.57,6.71,93.68,Bhindi(Ladies Finger)
27.52,32.51,34.3,25.81,51.59,6.03,95.84,Mango
92.93,48.94,45.33,29.04,77.13,6.75,98.75,Bhindi(Ladies Finger)
71.34,51.33,23.0,22.97,53.8,6.8,93.32,Apple
24.45,40.97,34.12,29.29,53.36,5.11,80.19,Mango
93.91,88.67,45.57,20.99,83.41,7.28,100.54,Banana
22.61,61.78,18.6,27.82,64.56,6.19,97.18,Arhar (Tur/Red Gram)(Whole)
104.6,86.23,46.51,20.62,75.72,6.58,108.1,Banana
14.92,25.84,30.53,24.73,90.99,6.28,119.44,Pomegranate
29.05,122.61,182.61,29.77,81.31,6.06,71.94,Grapes
29.43,31.62,34.18,30.34,55.58,5.46,99.92,Mango
14.21,19.53,38.85,16.97,88.69,5.74,101.8,Pomegranate
46.61,72.16,53.3,26.1,69.15,6.98,121.58,Black Gram (Urd Beans)(Whole)
79.62,61.0,53.59,23.8,69.84,6.2,92.9,Bhindi(Ladies Finger)
97.23,64.14,48.78,25.85,82.27,5.66,139.74,Banana
78.89,46.17,39.92,26.14,66.81,7.3,108.6,Bhindi(Ladies Finger)
18.46,34.58,24.6,30.15,52.28,6.35,84.6,Mango
98.44,59.95,27.39,20.27,58.04,6.83,93.17,Apple
13.45,25.74,34.3,18.35,92.53,5.71,100.42,Pomegranate
29.35,55.0,20.69,32.46,75.8,7.18,73.52,Green Gram (Moong)(Whole)
85.74,62.43,50.67,26.15,71.82,6.71,99.15,Bhindi(Ladies Finger)
74.44,48.86,25.24,22.1,59.13,6.7,87.08,Apple
11.52,24.08,20.9,26.26,45.93,4.58,87.65,Mango
66.14,37.52,43.81,25.3,81.33,6.46,259.25,Rice
102.68,74.0,42.21,29.24,81.84,7.01,134.99,Banana
95.63,92.38,48.92,27.36,80.97,6.28,217.36,Banana
64.19,52.91,41.18,20.8,87.79,7.0,227.51,Rice
11.84,62.36,24.53,18.88,48.65,5.97,102.01,Arhar (Tur/Red Gram)(Whole)
69.65,38.7,41.03,25.82,85.16,6.97,227.89,Rice
94.57,46.51,30.88,20.03,56.25,5.58,81.48,Apple
28.7,66.0,53.15,18.14,64.03,7.14,90.96,Black Gram (Urd Beans)(Whole)
34.77,55.12,23.03,26.23,83.15,6.56,47.91,Green Gram (Moong)(Whole)
83.25,58.68,25.13,20.4,65.42,5.83,85.21,Apple
92.0,65.49,46.8,25.67,81.24,7.44,219.23,Banana
88.51,46.42,50.49,24.63,68.34,6.84,102.23,Bhindi(Ladies Finger)
30.59,74.3,23.65,28.09,36.19,6.16,135.23,Arhar (Tur/Red Gram)(Whole)
11.21,62.11,17.28,20.24,45.11,5.6,137.28,Arhar (Tur/Red Gram)(Whole)
68.5,42.27,40.61,22.32,88.53,6.75,239.75,Rice
2.04,20.5,35.79,23.7,89.39,6.12,111.73,Pomegranate
100.38,59.01,47.97,28.34,81.83,6.96,163.95,Banana
22.84,148.31,193.7,31.78,77.57,6.21,78.71,Grapes
89.32,46.77,53.56,27.46,67.33,6.33,98.77,Bhindi(Ladies Finger)
11.02,143.5,185.89,30.4,80.65,6.14,66.15,Grapes
9.02,49.95,24.03,27.99,58.41,4.58,91.72,Mango
84.84,58.97,46.11,23.5,74.49,6.31,90.99,Bhindi(Ladies Finger)
60.07,47.65,43.65,24.72,88.06,7.21,208.9,Rice
7.38,21.9,31.65,18.33,88.94,5.54,103.89,Pomegranate
22.16,69.97,64.61,25.84,38.5,6.81,72.82,Black Gram (Urd Beans)(Whole)
16.95,74.04,16.86,17.42,53.96,6.2,100.39,Arhar (Tur/Red Gram)(Whole)
84.31,39.57,34.01,24.22,62.65,5.57,78.1,Apple
7.98,22.31,37.33,17.34,85.89,5.96,106.36,Pomegranate
22.22,66.67,15.22,25.62,40.54,6.45,136.11,Arhar (Tur/Red Gram)(Whole)
30.37,74.96,48.37,20.44,59.14,6.9,103.15,Black Gram (Urd Beans)(Whole)
28.75,61.25,69.85,21.31,68.43,6.85,71.14,Black Gram (Urd Beans)(Whole)
79.12,37.46,40.43,22.38,86.73,6.02,275.89,Rice
74.7,46.71,43.5,24.88,82.32,6.36,280.56,Rice
58.91,78.06,22.23,15.82,28.13,7.49,79.24,Black Gram (Urd Beans)(Whole)
79.36,49.05,38.33,20.38,54.8,5.5,78.03,Apple
56.18,62.97,32.31,17.08,21.67,6.61,149.41,Black Gram (Urd Beans)(Whole)
95.67,74.44,41.42,28.02,81.96,6.93,166.2,Banana
84.76,61.63,41.2,29.21,66.83,6.6,109.23,Bhindi(Ladies Finger)
10.38,145.55,184.36,28.19,79.44,6.25,64.66,Grapes
19.2,55.67,18.04,33.61,83.43,7.48,74.37,Green Gram (Moong)(Whole)
58.48,60.09,76.53,25.8,15.97,6.6,141.03,Black Gram (Urd Beans)(Whole)
97.36,91.51,48.32,28.37,76.16,6.92,178.35,Banana
88.21,48.46,30.8,23.57,53.92,5.66,62.77,Apple
12.42,15.45,31.99,20.03,93.52,6.18,119.4,Pomegranate
35.03,38.45,31.8,32.49,45.1,5.57,81.54,Mango
29.13,62.82,25.6,25.35,20.67,5.79,120.47,Arhar (Tur/Red Gram)(Whole)
33.47,71.26,39.28,26.14,26.22,5.67,101.18,Arhar (Tur/Red Gram)(Whole)
89.93,49.69,51.86,26.63,79.89,6.63,85.63,Bhindi(Ladies Finger)
27.42,72.64,29.44,21.0,25.22,5.86,97.4,Arhar (Tur/Red Gram)(Whole)
24.18,126.82,200.29,30.78,76.45,6.37,76.19,Grapes
94.23,52.79,44.03,23.57,70.35,6.18,98.92,Bhindi(Ladies Finger)
37.24,79.6,26.14,19.04,52.64,7.07,115.05,Black Gram (Urd Beans)(Whole)
74.38,52.71,40.11,22.09,88.79,7.22,210.24,Rice
11.16,28.03,39.71,18.09,87.35,6.0,111.12,Pomegranate
28.81,71.6,16.78,16.17,64.12,5.68,107.68,Arhar (Tur/Red Gram)(Whole)
3.2,15.3,33.09,18.62,86.2,6.13,109.81,Pomegranate
94.43,52.05,43.82,27.26,74.52,7.41,95.17,Bhindi(Ladies Finger)
35.27,26.04,29.46,32.19,46.37,5.54,91.48,Mango
34.88,51.81,15.37,29.94,60.05,7.09,61.66,Green Gram (Moong)(Whole)
73.92,38.85,40.03,22.55,89.24,6.49,224.0,Rice
33.34,54.89,15.5,30.24,60.62,7.34,66.31,Green Gram (Moong)(Whole)
77.01,35.55,36.74,24.59,63.17,6.51,96.6,Apple
75.76,49.01,35.84,29.49,79.0,6.61,102.51,Bhindi(Ladies Finger)
4.82,21.64,34.45,15.18,91.38,6.16,115.98,Pomegranate
93.81,72.63,48.6,21.79,76.63,6.36,133.28,Banana
19.98,56.19,24.3,32.37,75.38,6.84,58.29,Green Gram (Moong)(Whole)
27.53,149.65,193.09,29.21,84.12,6.35,64.84,Grapes
88.61,63.37,48.75,21.92,77.74,6.01,177.79,Banana
8.72,26.42,36.1,21.21,93.03,5.5,116.08,Pomegranate
4.68,27.58,36.82,18.03,88.03,6.3,118.97,Pomegranate
76.42,39.81,42.09,20.83,86.21,7.13,271.5,Rice
99.36,35.09,31.9,23.84,62.19,6.57,79.05,Apple
54.81,65.57,24.49,26.82,39.15,6.7,103.47,Black Gram (Urd Beans)(Whole)
89.9,64.78,45.66,27.99,71.4,6.99,89.32,Bhindi(Ladies Finger)
11.72,23.43,30.28,20.65,94.99,5.66,107.77,Pomegranate
95.59,85.22,48.88,26.45,80.22,6.4,167.86,Banana
87.86,94.52,41.76,23.56,77.0,5.74,164.49,Banana
23.66,79.64,63.72,24.2,46.13,7.25,94.35,Black Gram (Urd Beans)(Whole)
23.16,57.15,17.9,32.2,64.71,7.18,44.68,Green Gram (Moong)(Whole)
70.82,63.7,38.23,27.73,72.84,6.15,103.39,Bhindi(Ladies Finger)
70.27,42.15,42.81,22.42,81.66,7.25,297.26,Rice
86.26,40.84,36.53,24.47,69.69,6.33,60.91,Apple
84.29,60.68,38.29,27.59,76.09,6.19,92.53,Bhindi(Ladies Finger)
24.18,52.57,23.23,30.04,74.5,7.07,60.92,Green Gram (Moong)(Whole)
27.8,72.32,69.02,18.11,54.66,6.95,129.17,Black Gram (Urd Beans)(Whole)
91.8,62.43,43.47,29.54,69.31,6.03,90.04,Bhindi(Ladies Finger)
20.32,54.97,29.83,31.3,59.01,5.8,91.68,Mango
2.64,15.33,32.15,18.7,86.15,5.57,103.1,Pomegranate
29.28,27.06,22.67,25.63,47.66,5.61,92.32,Mango
8.33,42.68,34.72,32.6,58.75,4.69,82.2,Mango
75.79,35.71,44.31,26.46,89.82,7.04,250.49,Rice
73.35,54.27,40.44,24.98,81.32,7.16,263.98,Rice
77.91,54.85,31.92,21.32,57.36,6.66,94.08,Apple
67.57,41.04,41.91,25.4,88.74,6.89,252.0,Rice
93.6,46.05,27.19,23.35,62.09,6.12,96.11,Apple
14.58,47.08,25.74,25.57,58.25,6.48,92.04,Mango
79.77,42.22,31.89,23.2,60.79,6.18,67.11,Apple
90.99,67.14,47.52,23.23,83.33,7.31,219.87,Banana
27.87,67.84,37.57,26.23,15.62,6.78,121.15,Black Gram (Urd Beans)(Whole)
31.48,77.51,51.01,21.78,21.7,6.8,117.04,Black Gram (Urd Beans)(Whole)
38.71,73.46,66.29,15.49,33.57,6.9,93.8,Black Gram (Urd Beans)(Whole)
46.83,68.99,40.1,17.58,66.04,6.97,81.27,Black Gram (Urd Beans)(Whole)
